opcode,api,permissions,score,feature_importance_unobf,stability_change,ranking
,getProviders_call,,0.0012429262795598498,0.0013810291995109442,0.0013810291995109442,207
neg-long_freq,,,0.0012425541384150983,0.0013806157093501092,0.0013806157093501092,208
goto/16_freq,,,0.001241919395509692,0.0013799104394552134,0.0013799104394552134,209
invoke-static/range_freq,,,0.0012258753224298471,0.001362083691588719,0.001362083691588719,210
add-long_freq,,,0.0012247532006333243,0.0013608368895925826,0.0013608368895925826,211
,listen_call,,0.0012200372386666188,0.0013555969318517988,0.0013555969318517988,212
,toTitleCase_call,,0.0012174430879382725,0.0013527145421536363,0.0013527145421536363,213
if-ne_freq,,,0.0012155254511697685,0.0013505838346330762,0.0013505838346330762,214
,removeAllCookie_call,,0.0012141937487528123,0.0013491041652809027,0.0013491041652809027,215
move/from16_freq,,,0.0012043656749000293,0.001338184083222255,0.001338184083222255,216
int-to-long_freq,,,0.0012002841968068393,0.0013336491075631547,0.0013336491075631547,217
or-long_freq,,,0.0011970092181069318,0.0013300102423410354,0.0013300102423410354,218
,getKeySpec_call,,0.0011927096561039656,0.0013252329512266285,0.0013252329512266285,219
shl-long/2addr_freq,,,0.0011916385679779187,0.0013240428533087987,0.0013240428533087987,220
if-gtz_freq,,,0.0011435258140816244,0.0012705842378684718,0.0012705842378684718,221
add-int/2addr_freq,,,0.0011388238128215722,0.0012653597920239692,0.0012653597920239692,222
if-gt_freq,,,0.0011381037128339831,0.001264559680926648,0.001264559680926648,223
,SQLiteOpenHelper_call,,0.0011001370288404302,0.001222374476489367,0.001222374476489367,224
sub-int/2addr_freq,,,0.0010997104174465832,0.001221900463829537,0.001221900463829537,225
const-wide/high16_freq,,,0.0010910572047351224,0.0012122857830390251,0.0012122857830390251,226
add-double_freq,,,0.0010891613168486835,0.0012101792409429817,0.0012101792409429817,227
,createNewFile_call,,0.0010877199965205148,0.0012085777739116832,0.0012085777739116832,228
nop_freq,,,0.0010652901698171868,0.0011836557442413188,0.0011836557442413188,229
if-eq_freq,,,0.0010644750121005843,0.0011827500134450936,0.0011827500134450936,230
and-int_freq,,,0.0010643934723900499,0.001182659413766722,0.001182659413766722,231
xor-int_freq,,,0.0010638690292448976,0.0011820766991609975,0.0011820766991609975,232
,saveWebArchive_call,,0.0010525124486741092,0.0011694582763045658,0.0011694582763045658,233
